,nr,pytanie_po_polsku,pytanie_bez_mcq,pytanie_po_angielsku,odpowiedź,A,B,C,D,E,tags,marked,baza_pytań,część,dziedzina,tematy,,ID
,23,,"52-letni pacjent o masie ciała 80 kg, przebywający w SOR nagle stracił przytomność. Na podstawie wcześniejszego wywiadu medycznego dokonano pomiaru glikemii z krwi włośniczkowej 31 mg/dl. W SOR dostępne są ampułki Glucosum 20% w 10 ml. Postępowanie ratunkowe polega na dożylnym podaniu:",,,"1,6 mg.",16 mg.,16000 mg.,2 g.,500 g., medycyna_ratunkowa_i_intensywna_terapia,,CEM,część_2,medycyna_ratunkowa_i_intensywna_terapia,,medycyna_ratunkowa_i_intensywna_terapia,
,24,,"W przypadku wzrostu ciśnienia śródczaszkowego, u pacjenta dorosłego dochodzi do zaburzeń oddechowo-krążeniowych określanych jako triada Cushinga. Wskaż jej objawy:
1) nieregularny oddech;
2) spadek ciśnienia tętniczego krwi;
3) bradykardia;
4) tachykardia;
5) wzrost ciśnienia tętniczego krwi. Prawidłowa odpowiedź to:",,,"2,3.","1,2,4.","4,5.","1,3,5.","4,5.", medycyna_ratunkowa_i_intensywna_terapia,,CEM,część_2,medycyna_ratunkowa_i_intensywna_terapia,,medycyna_ratunkowa_i_intensywna_terapia,
,25,,"Pacjent dorosły, o masie ciała 80 kg, doznał oparzeń II i III stopnia przedniej powierzchni klatki piersiowej. Zgodnie z „regułą dziewiątek” oraz regułą Parkland, w pierwszej dobie leczenia oparzenia należy podać dożylnie krystaloid w objętości:",,,700 ml.,900 ml.,2550 ml.,3000 ml.,5760 ml., medycyna_ratunkowa_i_intensywna_terapia,,CEM,część_2,medycyna_ratunkowa_i_intensywna_terapia,,medycyna_ratunkowa_i_intensywna_terapia,
,26,,"Do szpitalnego oddziału ratunkowego zgłosił się pacjent w wieku ok. 70 lat, po wcześniejszym omdleniu i z widocznymi objawami ostrej niewydolności krążenia, BP 70/30, bladość powłok skórnych, CRT 4 sek. Opisany stan pacjenta oraz poniższy zapis EKG wskazują na podjęcie decyzji o:",,,defibrylacji energią 150J.,wykonaniu kardiowersji.,masażu zatoki szyjnej w pozycji leżącej.,dożylnym podaniu Adenosinum w dawce 6 mg.,dożylnym podaniu Magnesii sulfas w dawce 2 g., medycyna_ratunkowa_i_intensywna_terapia,,CEM,część_2,medycyna_ratunkowa_i_intensywna_terapia,,medycyna_ratunkowa_i_intensywna_terapia,
,27,,"U pacjentów dorosłych, do zagrażających życiu przyczyn bólu w klatce piersiowej nie zalicza się:",,,zapalenia płuc.,odmy opłucnowej.,zapalenia osierdzia.,ostrego zespołu wieńcowego.,tętniaka rozwarstwiającego aorty., medycyna_ratunkowa_i_intensywna_terapia,,CEM,część_2,medycyna_ratunkowa_i_intensywna_terapia,,medycyna_ratunkowa_i_intensywna_terapia,
,28,,U pacjenta dorosłego szpilkowate źrenice o średnicy poniżej 1 mm są charakterystyczne dla:,,,przedawkowania leków z grupy opoidów.,wklinowania zakrętu hipokampa.,zaburzeń metabolicznych.,zmian w śródmózgowiu.,hipotermii., medycyna_ratunkowa_i_intensywna_terapia,,CEM,część_2,medycyna_ratunkowa_i_intensywna_terapia,,medycyna_ratunkowa_i_intensywna_terapia,
,29,,"Według wytycznych Europejskiej Rady Resuscytacji opublikowanych w 2021 roku, u pacjenta dorosłego podczas prowadzonej resuscytacji krążeniowo-oddechowej, kapnografię stosuje się w celu:
1) oceny oksygenacji krwi;
2) wykluczenia zatruciem CO;
3) podjęcia decyzji o rozpoczęciu RKO;
4) monitorowania jakość prowadzonej RKO;
5) potwierdzenia położenie rurki intubacyjnej. Prawidłowa odpowiedź to:",,,"4,5.","1,2.",tylko 3.,"2,3.","1,2,5.", medycyna_ratunkowa_i_intensywna_terapia,,CEM,część_2,medycyna_ratunkowa_i_intensywna_terapia,,medycyna_ratunkowa_i_intensywna_terapia,
,30,,Paradoksalna ruchomość oddechowa klatki piersiowej występuje w sytuacji:,,,wytrzewienia.,tamponady serca.,odmy opłucnowej zewnętrznej.,wiotkiej klatki piersiowej.,oparzenia okrężnego klatki piersiowej., medycyna_ratunkowa_i_intensywna_terapia,,CEM,część_2,medycyna_ratunkowa_i_intensywna_terapia,,medycyna_ratunkowa_i_intensywna_terapia,
,31,,Najczęstszą postacią choroby wysokościowej jest:,,,ostre zapalenie krtani.,ostra choroba wysokogórska.,zapalenie płuc.,żylna choroba zakrzepowo-zatorowa.,zapalenie żył głębokich., medycyna_ratunkowa_i_intensywna_terapia,,CEM,część_2,medycyna_ratunkowa_i_intensywna_terapia,,medycyna_ratunkowa_i_intensywna_terapia,
,32,,"Torakotomię ratunkową należy wykonać w przypadku stwierdzenia czynnego krwawienia do jamy opłucnowej, gdy bezpośrednio po wprowadzeniu drenu uzyskujemy jednorazowo:",,,250 ml krwi.,500 ml krwi.,1000 ml krwi.,1500 ml krwi.,"Stały drenaż 100-150 ml/h, w ciągu kolejnych czterech godzin.", medycyna_ratunkowa_i_intensywna_terapia,,CEM,część_2,medycyna_ratunkowa_i_intensywna_terapia,,medycyna_ratunkowa_i_intensywna_terapia,
,33,,Podczas resuscytacji tętno na tętnicy ramiennej badamy u:,,,dzieci do 3 roku życia.,noworodków i niemowląt.,kobiet w zaawansowanej ciąży.,dzieci do okresu pokwitania.,"wszystkich poszkodowanych, bez względu na wiek.", medycyna_ratunkowa_i_intensywna_terapia,,CEM,część_2,medycyna_ratunkowa_i_intensywna_terapia,,medycyna_ratunkowa_i_intensywna_terapia,
,34,,Pewnymi trzema objawami złamania kości są:,,,"zniekształcenie zarysów kończyny, patologiczna ruchomość kości, trzeszczenie i tarcie odłamów kostnych.","ból, bolesność kończyny, obrzęk.","ograniczenie ruchomości, obrzęk, krwiak.","przykurcz mięśni, podbiegnięcia krwawe, obrzęk.","ból, obrzęk kończyny, zasinienie.", medycyna_ratunkowa_i_intensywna_terapia,,CEM,część_2,medycyna_ratunkowa_i_intensywna_terapia,,medycyna_ratunkowa_i_intensywna_terapia,
,35,,"W leczeniu bólu pooperacyjnego, u chorych, po urazach kończyn stosujemy leki przeciwbólowe z wyjątkiem:",,,paracetamolu.,metamizolu.,ketoprofenu.,morfiny.,diazepamu., medycyna_ratunkowa_i_intensywna_terapia,,CEM,część_2,medycyna_ratunkowa_i_intensywna_terapia,,medycyna_ratunkowa_i_intensywna_terapia,
,36,,"U 3-letniego dziecka prowadzenie sztucznego oddychania i masażu serca, polega na wykonaniu:",,,5 uciśnięć klatki piersiowej i 1 oddech.,5 uciśnięć klatki piersiowej i 2 oddechy.,10 uciśnięć klatki piersiowej i 2 oddechy.,15 uciśnięć klatki piersiowej i 2 oddechy.,30 uciśnięć klatki piersiowej i 1 oddech., medycyna_ratunkowa_i_intensywna_terapia,,CEM,część_2,medycyna_ratunkowa_i_intensywna_terapia,,medycyna_ratunkowa_i_intensywna_terapia,
,37,,"Podczas prowadzenia resuscytacji, ponownej oceny oznak życia dokonujemy:",,,regularnie co 1-2 minuty.,zawsze przed naklejeniem elektrod AED.,jeżeli pacjent zaczyna reagować – porusza się i otwiera oczy.,po 5 cyklach RKO.,po odzyskaniu świadomości przez pacjenta., medycyna_ratunkowa_i_intensywna_terapia,,CEM,część_2,medycyna_ratunkowa_i_intensywna_terapia,,medycyna_ratunkowa_i_intensywna_terapia,
,38,,Wskazaniem do prowokowania wymiotów jest połknięcie trucizny w wysokiej dawce prowadzące do ciężkiego zatrucia w czasie:,,,do 15 minut od połknięcia trucizny.,do 30 minut od połknięcia trucizny.,do 60 minut od połknięcia trucizny.,nie prowokujemy wymiotów.,do 120 minut od zatrucia., medycyna_ratunkowa_i_intensywna_terapia,,CEM,część_2,medycyna_ratunkowa_i_intensywna_terapia,,medycyna_ratunkowa_i_intensywna_terapia,
,39,,"Do SOR przywieziono chorego w śpiączce, z hiporefleksją, płytkim oddechem, szpilkowato zwężonymi źrenicami, bradykardią, chłodną skórą, zwolnioną perystaltyką jelit oraz śladami po iniekcjach. Rozpoznaniem będzie toksydrom:",,,cholinergiczny.,uspokajająco – nasenny.,opioidowy.,sympatykomimetyczny.,cholinolityczny., medycyna_ratunkowa_i_intensywna_terapia,,CEM,część_2,medycyna_ratunkowa_i_intensywna_terapia,,medycyna_ratunkowa_i_intensywna_terapia,
,40,,"Ostre zapalenie dróg żółciowych możemy rozpoznać na podstawie zespołu objawów, tzw. triady Charcota, do której zalicza się:",,,"ostry ból pod prawym łukiem żebrowym, o charakterze kolki żółciowej, gorączka z dreszczami oraz żółtaczka.","opasujący tępy ból nadbrzusza, żółtaczka, bradykardia.","ból kolkowy prawej okolicy lędźwiowej, wymioty, żółtaczka.","ostry ból w okolicy pępka, gorączka oraz tachykardia.","ból kolkowy w lewym podżebrzu, wymioty, dreszcze .", medycyna_ratunkowa_i_intensywna_terapia,,CEM,część_2,medycyna_ratunkowa_i_intensywna_terapia,,medycyna_ratunkowa_i_intensywna_terapia,
,41,,"U pacjenta, po wypadku komunikacyjnym wystąpiła duszność, tachykardia, tętno paradoksalne, obniżone ciśnienie tętnicze krwi, poszerzenie żył szyjnych oraz głuche tony serca. Rozpoznaniem jest:",,,prężna odma opłucnowa.,zawał mięśnia sercowego.,przewlekła obturacyjna choroba płuc.,zator tętnicy płucnej.,tamponada serca., medycyna_ratunkowa_i_intensywna_terapia,,CEM,część_2,medycyna_ratunkowa_i_intensywna_terapia,,medycyna_ratunkowa_i_intensywna_terapia,
,1,,"Jeżeli stwierdzenie okoliczności mających istotne znaczenie dla rozstrzygnięcia sprawy wymaga wiadomości specjalnych, zasięga się opinii:",,,biegłego albo biegłych.,specjalisty.,lekarza POZ.,policji.,prokuratora., bioetyka_i_prawo_medyczne,,CEM,część_2,bioetyka_i_prawo_medyczne,,bioetyka_i_prawo_medyczne,
,2,,"Wykonanie zabiegu operacyjnego u pacjenta, który ukończył 16 lat wymaga zgody:",,,pacjenta.,przedstawiciela ustawowego.,zgody lekarza prowadzącego.,pacjenta i przedstawiciela ustawowego.,nie wymaga zgody., bioetyka_i_prawo_medyczne,,CEM,część_2,bioetyka_i_prawo_medyczne,,bioetyka_i_prawo_medyczne,
,3,,W trakcie dyżuru zgłasza się telefonicznie rodzina pacjenta prosząc o udzielenie informacji o stanie jego zdrowia. Hospitalizowany chory jest przytomny. Co należy zrobić?,,,udzielasz informacji o stanie zdrowia chorego.,sprawdzasz w dokumentacji medycznej kogo chory upoważnił do przekazywania informacji i tej osobie jej udzielasz .,nie udzielasz informacji telefonicznie.,pytasz o dane personalne osoby telefonującej i udzielasz informacji.,prosisz o wizytę w ciągu dnia w dniu następnym., bioetyka_i_prawo_medyczne,,CEM,część_2,bioetyka_i_prawo_medyczne,,bioetyka_i_prawo_medyczne,
,4,,"Chirurg wychodząc z bloku operacyjnego spotkał kolegę, którego żonę operował kilka dni wcześniej. Kolega zapytał chirurga o stan zdrowia żony. Żona nie upoważniła męża do uzyskania informacji o jej stanie zdrowia. Jak powinien postąpić chirurg?",,,powinien poprosić o cierpliwość i umówić się na kolejny dzień na rozmowę.,powinien udzielić koledze informacji o stanie zdrowia żony.,powinien przedstawić do wglądu dokumentację medyczną i szeroko omówić stan zdrowia pacjentki.,powinien po uzyskaniu zgody przełożonego udzielić pełnej informacji o stanie zdrowia pacjentki.,nie powinien udzielać żadnych informacji o stanie zdrowia do czasu uzyskania zgody od pacjentki., bioetyka_i_prawo_medyczne,,CEM,część_2,bioetyka_i_prawo_medyczne,,bioetyka_i_prawo_medyczne,
,5,,"Jesteś lekarzem w POZ, do którego zgłasza się rodzina z prośbą o stwierdzenie zgonu i wydanie karty zgonu. W domu zmarłego stwierdzasz obecność częściowo zatartych śladów krwi na przedmiotach i podłodze oraz obrażenia głowy. Co należy zrobić?",,,"wykonujesz badanie, stwierdzasz zgon i wydajesz kartę zgonu.",zawiadamiasz Policję i wydajesz kartę zgonu.,zawiadamiasz Policję i powstrzymujesz się od wydania karty zgonu.,zobowiązujesz rodzinę do powiadomienia Policji i wydajesz kartę zgonu.,przekazujesz ciało do Zakładu Patomorfologii w celu wykonania badania pośmiertnego., bioetyka_i_prawo_medyczne,,CEM,część_2,bioetyka_i_prawo_medyczne,,bioetyka_i_prawo_medyczne,
,6,,Zostajesz wezwany do Prokuratury w charakterze świadka. Po wylegitymowaniu Cię przesłuchujący prokurator zaczyna pytać o przebieg procesu leczenia jednego z Twoich pacjentów. Co należy zrobić?,,,udzielasz informacji o leczeniu chorego.,prosisz o przesłuchanie w terminie późniejszym z powodu niepamięci potrzebnych informacji.,zobowiązujesz się do przekazania tych danych pisemnie.,kierujesz przesłuchującego do rodziny pacjenta.,prosisz o okazanie dokumentu zwalniającego Cię z tajemnicy lekarskiej., bioetyka_i_prawo_medyczne,,CEM,część_2,bioetyka_i_prawo_medyczne,,bioetyka_i_prawo_medyczne,
,7,,"Jesteś lekarzem, który bada na polecenie sądu oskarżonego, który nie stawia się na kolejne terminy rozpraw. Po badaniu dzwoni do Ciebie kolega z roku i pyta o twoją opinię odnośnie stanu zdrowia osoby badanej. Co należy zrobić?",,,podajesz wnioski wynikające z badania.,zapraszasz kolegę i pokazujesz mu akta sprawy i dane z badania.,nie podajesz żadnych informacji dotyczących badania.,zawiadamiasz sąd o telefonie kolegi.,zawiadamiasz policję o telefonie kolegi., bioetyka_i_prawo_medyczne,,CEM,część_2,bioetyka_i_prawo_medyczne,,bioetyka_i_prawo_medyczne,
,8,,"Jesteś lekarzem w szpitalu, w którym pod Twoją opieką znajduje się 17-letni pacjent, wymagający przeprowadzenia zabiegu operacyjnego. Zgodę na zabieg wyraził pacjent, nie wyraził przedstawiciel ustawowy. Zwracasz się do Sądu opiekuńczego położonego w miejscu:",,,zamieszkania pacjenta.,zamieszkania przedstawiciela ustawowego.,gdzie czynności medyczne mają zostać wykonane .,nie zwracasz się o zgodę do Sądu .,pobytu opiekuna faktycznego., bioetyka_i_prawo_medyczne,,CEM,część_2,bioetyka_i_prawo_medyczne,,bioetyka_i_prawo_medyczne,
,9,,"Ofiara wypadku drogowego zmarła w szpitalu po tygodniowej hospitalizacji. O zgonie zawiadamiasz prokuraturę i informujesz rodzinę pacjenta, że ciało można będzie odebrać po:",,,sekcji sądowo-lekarskiej.,sekcji anatomopatologicznej.,sekcji administracyjnej.,sekcji sądowo-lekarskiej i wydaniu zgody na odbiór ciała przez prokuratora.,bez żadnych czynności., bioetyka_i_prawo_medyczne,,CEM,część_2,bioetyka_i_prawo_medyczne,,bioetyka_i_prawo_medyczne,
,10,,"Jesteś lekarzem, który bada pacjenta w celu wydania orzeczenia o stopniu niepełnosprawności. Po badaniu, o wyniku informujesz zleceniodawcę. Jednak zgodnie z zapisami KEL:",,,masz obowiązek poinformować zleceniodawcę o terminie badania.,"przed rozpoczęciem badania masz obowiązek poinformować o celu badania osobę, która ma być zbadana, a wszelkie informacje, które nie są konieczne dla uzasadnienia wniosków wynikających z badania, powinny być nadal objęte tajemnicą lekarską.",masz obowiązek poinformować zleceniodawcę o miejscu badania.,w uzasadnieniu należy ująć wszelkie dane dotycząc aktualnego stanu zdrowia.,KEL nie reguluje postępowania w tym zakresie., bioetyka_i_prawo_medyczne,,CEM,część_2,bioetyka_i_prawo_medyczne,,bioetyka_i_prawo_medyczne,
,11,,Po zbadaniu pacjenta wystawiasz zaświadczenie lekarskie. Zgodnie z zapisami KEL każde zaświadczenie lekarskie lub inny dokument medyczny:,,,"powinien umożliwiać identyfikację jednostki, w której wystawiono zaświadczenie.","powinien umożliwiać identyfikację lekarza, który go wystawił.",może być formułowany pod presją organu zlecającego.,jego treść może zależeć od osobistych korzyści lekarza.,jego treść powinna wynikać z sugestii pacjenta., bioetyka_i_prawo_medyczne,,CEM,część_2,bioetyka_i_prawo_medyczne,,bioetyka_i_prawo_medyczne,
,12,,"Trwałe nieodwracalne ustanie czynności mózgu (śmierć mózgu) stwierdza jednomyślnie dwóch lekarzy specjalistów posiadających II stopień specjalizacji lub tytuł specjalisty, w tym jeden specjalista w dziedzinie anestezjologii i intensywnej terapii lub neonatologii, a drugi w dziedzinie :",,,"neurologii, neurologii dziecięcej lub neurochirurgii.",medycyny sądowej.,patomorfologii.,diagnostyki radiologicznej.,kardiologii inwazyjnej., bioetyka_i_prawo_medyczne,,CEM,część_2,bioetyka_i_prawo_medyczne,,bioetyka_i_prawo_medyczne,
,13,,"Wyniki badań związane z wykonywaniem zawodu, lekarz powinien przekazywać środowisku lekarskiemu i publikować:",,,w mediach społecznościowych.,w postaci doniesień w prasie codziennej.,w postaci artykułów w tygodnikach społecznych.,w telewizji śniadaniowej.,przede wszystkim w prasie medycznej., bioetyka_i_prawo_medyczne,,CEM,część_2,bioetyka_i_prawo_medyczne,,bioetyka_i_prawo_medyczne,
,14,,"Jesteś pierwszym autorem publikacji naukowej. Kolega, który nie uczestniczył w badaniach poprosił Cię o dopisanie jego nazwiska do listy autorów publikacji. Co należy zrobić?",,,dopisujesz nazwisko kolegi.,dopisujesz nazwisko kolegi i jego przełożonego.,odmawiasz dopisania nazwiska kolegi do publikacji.,zapisy KEL nie regulują postępowania w tej sprawie.,zgadzasz się na dopisanie nazwiska kolegi w zamian za podobną przysługę., bioetyka_i_prawo_medyczne,,CEM,część_2,bioetyka_i_prawo_medyczne,,bioetyka_i_prawo_medyczne,
,15,,"Jesteś wykładowcą akademickim. Na swoim wykładzie chcesz zaprezentować pacjenta, którego objawy chorobowe ilustrują określoną jednostkę chorobową. W związku z tym:",,,wydajesz polecenie przyprowadzenia pacjenta na salę wykładową.,zwracasz się do pacjenta o zgodę na udział w demonstracji dydaktycznej.,"tłumaczysz pacjentowi, że ma obowiązek uczestnictwa w procesie dydaktycznym.",na wykładzie demonstrujesz objawy chorego bez jego zgody.,zapisy KEL nie regulują sposobu postępowania., bioetyka_i_prawo_medyczne,,CEM,część_2,bioetyka_i_prawo_medyczne,,bioetyka_i_prawo_medyczne,
,16,,"Jesteś wykładowcą na kongresie naukowym, przedstawiającym wyniki badań naukowych powstałych w czasie współpracy z firmą farmaceutyczną. W związku z tym:",,,powinieneś poinformować słuchaczy o temacie badań i czasie ich trwania.,nie masz obowiązku podawania informacji o współpracy z firmą.,powinieneś poinformować słuchaczy o związku z firmą farmaceutyczną oraz subwencją z jej strony.,powinieneś zaprosić przedstawiciela firmy na wykład.,kodeks etyki lekarskiej nie reguluje Twoich obowiązków., bioetyka_i_prawo_medyczne,,CEM,część_2,bioetyka_i_prawo_medyczne,,bioetyka_i_prawo_medyczne,
,17,,"W czasie dyżuru pełnionego wspólnie z kolegą zauważyłeś, że w sposób nieprawidłowy zaopatrzył złamanie kończyny. W związku z tym:",,,przekazujesz tę informację koledze i razem naprawiacie jego błąd.,zgłaszasz sprawę do OIL.,zawiadamiasz prokuraturę.,zawiadamiasz prasę.,nie robisz nic., bioetyka_i_prawo_medyczne,,CEM,część_2,bioetyka_i_prawo_medyczne,,bioetyka_i_prawo_medyczne,
,18,,"W czasie dyżuru pełnionego w SOR zgłasza się emerytowany lekarz, twój nauczyciel zawodu. W związku z tym:",,,"udajesz, że go nie poznajesz.",pomimo braku pacjentów w SOR opóźniasz swoją wizytę u pacjenta.,"udajesz się do lekarza osobiście, pomagasz mu w czasie diagnostyki i pobytu w szpitalu.",nie robisz nic.,kodeks etyki lekarskie nie reguluje twojego postępowania., bioetyka_i_prawo_medyczne,,CEM,część_2,bioetyka_i_prawo_medyczne,,bioetyka_i_prawo_medyczne,
,19,,"U ofiary wypadku komunikacyjnego stwierdzono śmierć osobniczą związaną z ciężkimi obrażeniami głowy. Po sprawdzeniu Centralnego Rejestru Sprzeciwów stwierdzono, że zmarły nie wniósł za życia sprzeciwu odnośnie pobierania tkanek i narządów do przeszczepu. Zgodnie z Kodeksem Etyki Lekarskiej leczący go lekarz powinien:",,,kontynuować leczenie do czasu wyrażenia zgody przez rodzinę na zaprzestanie dalszych czynności medycznych.,"podtrzymywać funkcje życiowe tkanek i narządów, jeżeli mają one zostać przeszczepione.",potwierdzić zgon pacjenta badaniem obrazowym i wystawić kartę zgonu.,podtrzymywać funkcje życiowe do momentu uzyskania zgody z Prokuratury o zaprzestaniu podtrzymywania czynności medycznych.,śmierć osobnicza nie daje podstaw do uznania pacjenta za osobę zmarłą., bioetyka_i_prawo_medyczne,,CEM,część_2,bioetyka_i_prawo_medyczne,,bioetyka_i_prawo_medyczne,
,20,,"Przyjęta przez Komitet Ministrów, w dniu 19 listopada 1996 roku konwencja o ochronie praw człowieka i godności istoty ludzkiej wobec zastosowań biologii i medycyny, tj. konwencja o prawach człowieka i biomedycynie:",,,stawia interes i dobro istoty ludzkiej nad wyłącznym interesem społeczeństwa lub nauki.,nakazuje podporządkowanie interesu i dobra istoty ludzkiej prawu powszechnemu.,dopuszcza możliwość ograniczenia praw jednostki w zależności od ustroju politycznego.,dopuszcza możliwość ograniczenia praw jednostki w zależności od wyznania.,nie zapewnia ochrony sądowej w celu zapobieżenia albo spowodowania niezwłocznego zaniechania bezprawnego naruszania praw i zasad określonych w niniejszej konwencji., bioetyka_i_prawo_medyczne,,CEM,część_2,bioetyka_i_prawo_medyczne,,bioetyka_i_prawo_medyczne,
,21,,"Stanowisko światowego stowarzyszenia lekarzy (WMA), w sprawie wspomaganego przez lekarza samobójstwa mówi, że:",,,wspomagane przez lekarza samobójstwo jest nieetyczne i musi być potępiane przez lekarzy.,"etycznym jest celowa pomoc i świadome ukierunkowanie na umożliwienie człowiekowi zakończenia jego życia, jeżeli pacjent wyrazi taką wolę.",prawo pacjenta do rezygnacji z leczenia zgodnie z jego wolą powinno zostać całkowicie zniesione.,decyzję odnośnie wspomaganego samobójstwa może podjąć lekarz po zasięgnięciu opinii innego lekarza.,wspomagane samobójstwo i eutanazja są pojęciami równoimiennymi., bioetyka_i_prawo_medyczne,,CEM,część_2,bioetyka_i_prawo_medyczne,,bioetyka_i_prawo_medyczne,
,22,,"Jesteś lekarzem leczącym pacjenta w szpitalu. Po wykonaniu pełnego profilu badań okazuje się, że pacjent może zostać zakwalifikowany do badań klinicznych. O zgodę na udział w badaniu prosi:",,,lekarz prowadzący pacjenta.,"ordynator oddziału, na którym pacjent przebywa.","dyrektor szpitala, w którym pacjent przebywa.","zgoda powinna być uzyskana przez inną odpowiednio wykwalifikowaną osobę, która nie ma nic wspólnego z relacjami łączącymi uczestnika z lekarzem prowadzącym badanie.",zgoda nie jest wymagana., bioetyka_i_prawo_medyczne,,CEM,część_2,bioetyka_i_prawo_medyczne,,bioetyka_i_prawo_medyczne,
,23,,"W jakich przypadkach może nastąpić zwolnienie z zachowania tajemnicy lekarskiej?
1) jeśli zobowiązują do tego przepisy prawa;
2) gdy pacjent wyrazi na to zgodę;
3) gdy lekarz wyrazi na to zgodę;
4) jeśli zachowanie tajemnicy w sposób istotny zagraża zdrowiu lub życiu pacjenta;
5) jeśli zachowanie tajemnicy w sposób istotny zagraża zdrowiu lub życiu innych osób; Prawidłowa odpowiedź to:",,,"2,3.","2,4.","1,2,4,5.","1,3.",tylko 5., bioetyka_i_prawo_medyczne,,CEM,część_2,bioetyka_i_prawo_medyczne,,bioetyka_i_prawo_medyczne,
,24,,"W jakich przypadkach nie można pobrać narządów ze zwłok osoby pełnoletniej?
1) w celu przeszczepienia, jeśli nazwisko osoby zmarłej figuruje w centralnym rejestrze sprzeciwów;
2) w celu przeszczepienia, gdy dwóch świadków pisemnie poświadcza, że w ich obecności osoba zmarła jeszcze za życia wyraziła sprzeciw;
3) w celach diagnostycznych, w czasie sekcji zwłok;
4) w celu przeszczepienia, gdy w dokumentach osoby zmarłej znaleziono pisemne oświadczenie z jej własnoręcznym podpisem zawierające sprzeciw;
5) w celach oceny postępowania leczniczego w czasie sekcji zwłok. Prawidłowa odpowiedź to:",,,"1,2,5.","1,2,3.","1,2,4,5.","3,5.","1,2,4.", bioetyka_i_prawo_medyczne,,CEM,część_2,bioetyka_i_prawo_medyczne,,bioetyka_i_prawo_medyczne,
,25,,Do szpitalnego oddziału ratunkowego przyjeżdżają dwaj chłopcy: 15-latek w towarzystwie pełnoletniego brata. Rodzice chłopców są w pracy. 15-latek przewrócił się w czasie lekcji WF i zgłasza dolegliwości bólowe kończyny górnej lewej w okolicy nadgarstka. Jaki zakres czynności może i powinien wykonać lekarz?,,,"powinien zbadać chłopca, a zgodę na badanie RTG kończyny może podpisać pełnoletni brat.","powinien zbadać chłopca i poczekać na przyjazd rodzica, który powinien wyrazić zgodę na wykonanie badania RTG kończyny.","lekarz musi poczekać na przyjazd rodzica, aby zbadać chłopca.","powinien zbadać chłopca i wykonać badanie RTG kończyny, na które nie potrzeba specjalnej zgody.","powinien zbadać chłopca i zapytać, czy chłopiec zgadza się na wykonanie badania RTG kończyny górnej.", bioetyka_i_prawo_medyczne,,CEM,część_2,bioetyka_i_prawo_medyczne,,bioetyka_i_prawo_medyczne,
,26,,Czy kobieta ciężarna może być kandydatem na żywego dawcę?,,,"tak, jeżeli ciąża przebiega prawidłowo.","nie, w żadnym wypadku.","tak, ale tylko komórek i tkanek, po pisemnym poinformowaniu jej o ryzyku oraz po określeniu ryzyka przez lekarza-ginekologa i lekarza neonatologa.","tak, ale tylko w pierwszym trymestrze ciąży.","tak, ale jedynie w ostatnim trymestrze ciąży.", bioetyka_i_prawo_medyczne,,CEM,część_2,bioetyka_i_prawo_medyczne,,bioetyka_i_prawo_medyczne,
,27,,Wskaż fałszywe stwierdzenie dotyczące „przywileju terapeutycznego”:,,,wypływa z zasady dobroczynienia.,"jest to uprawnienie lekarza do ocenzurowania prawdy przekazywanej pacjentowi, w sytuacji gdy jest on przekonany, że posłuży to dobru pacjenta.",wypływa z zasady nieszkodzenia.,"może być uzasadniony argumentem, że nikt, nawet lekarz, nie może znać całej prawdy.","jest to uprawnienie lekarza do jednostronnej oceny, czy prawdomówność leży w najlepiej pojmowanym interesie pacjenta.", bioetyka_i_prawo_medyczne,,CEM,część_2,bioetyka_i_prawo_medyczne,,bioetyka_i_prawo_medyczne,
,28,,Wskaż fałszywe stwierdzenie dotyczące przymusu bezpośredniego:,,,o jego zastosowaniu decyduje wyłącznie lekarz.,o jego bezpośredniego w szpitalach psychiatrycznych i w domach opieki społecznej może zadecydować pielęgniarka.,"można stosować tylko wtedy, gdy osoba dopuszcza się zamachu przeciwko zdrowiu i życiu własnemu lub innej osoby.","można zastosować wobec osoby, która w sposób gwałtowny niszczy lub uszkadza przedmioty znajdujące się w jej otoczeniu.",może polegać na przymusowym podaniu leków., bioetyka_i_prawo_medyczne,,CEM,część_2,bioetyka_i_prawo_medyczne,,bioetyka_i_prawo_medyczne,
,29,,"W postępowaniu medycznym, decyzję o niepodjęciu np. zabiegu o charakterze onkologicznym, u pacjenta w przypadku postępującej agonalnej niewydolności wielonarządowej, określa się jako:",,,odstąpienie od środków minimalnie proporcjonalnych.,bierną eutanazję.,błąd zaniechania.,odstąpienie od terapii daremnej.,zaniechanie środków zwyczajnych., bioetyka_i_prawo_medyczne,,CEM,część_2,bioetyka_i_prawo_medyczne,,bioetyka_i_prawo_medyczne,
,30,,Jaki rodzaj postępowania określany jest w medycynie pojęciem terapii daremnej?,,,nieprzynoszące pacjentowi korzyści terapeutycznych.,niezgodne z aktualną wiedzą medyczną.,nieadekwatne do stanu zdrowia pacjenta.,paliatywne.,terapeutyczne zastosowanie placebo., bioetyka_i_prawo_medyczne,,CEM,część_2,bioetyka_i_prawo_medyczne,,bioetyka_i_prawo_medyczne,
