id,nr,pytanie,odpowiedź,A,B,C,D,E,tags,termin,przedmiot,temat,boards_and_beyond
,235,Mianem zespołu Ogilviego określa się:,,żółtaczkę występującą w przebiegu raka głowy trzustki.,niedrożność porażenną w przebiegu porfirii.,niedrożność okrężnicy bez jej obturacji.,guz wnęki wątroby przebiegający z żółtaczką.,żadne z powyższych.,chirurgia_ogólna,,,,
,236,Wskaż fałszywe stwierdzenie dotyczące triady Whipple’a:,,obecne są zaburzenia świadomości związane z głodzeniem.,pacjent jest zwykle wychudzony.,"współwystępuje hipoglikemia poniżej 2,22 mmol/l (40 mg/dl).",objawy ustępują natychmiast po podaniu dożylnym glukozy.,ma związek z hormonalnie czynnym nowotworem trzustki.,chirurgia_ogólna,,,,
,237,"Stwierdzenie dodatnich objawów Chvostka, Trousseau i Erba może wskazywać na:",,ostre zapalenie pęcherzyka żółciowego.,ostre zapalenie trzustki.,nadczynność tarczycy.,nadczynność kory nadnerczy.,niedoczynność przytarczyc.,chirurgia_ogólna,,,,
,238,Linitis plastica jest określeniem:,,"raka rozlegle naciekającego ścianę żołądka, dającego wczesne przerzuty do węzłówchłonnych.","raka jelita grubego, który powoduje niedrożność dolnego odcinka przewodupokarmowego.","raka przełyku, w przebiegu którego przełyk ma postać twardej, sztywnej rury.","zaawansowanego, nieresekcyjnego raka trzustki.","rzadkiego, pierwotnego raka wątroby.",chirurgia_ogólna,,,,
,239,Guz Klatskina to:,,rak pęcherzyka żółciowego.,rak brodawki Vatera.,rak wątrobowokomórkowy powstały w marskiej wątrobie na tle WZW B.,rak przewodów wątrobowych.,rak głowy trzustki.,chirurgia_ogólna,,,,
,240,"U 68-letniego chorego, dotychczas nie chorującego, nie korzystającego w ciąguostatniego roku z pomocy lekarskiej, który zgłosił się do ambulatorium chirurgicznego zpowodu zaobserwowanego od 7 dni zażółcenia powłok, w badaniu fizykalnym wykrywasię powiększony, niebolesny pęcherzyk żółciowy. Obraz taki wskazywać może najpewniej na:",,pierwotną żółciową marskość wątroby.,pierwotne stwardniające zapalenie dróg żółciowych.,ostre zapalenie pęcherzyka żółciowego.,ostre zapalenie dróg żółciowych.,raka głowy trzustki.,chirurgia_ogólna,,,,
,241,"Wskaż prawdziwe stwierdzenia dotyczące nadnerczy:
1) incydentaloma zawsze wymaga leczenia operacyjnego;
2) badaniem z wyboru w diagnostyce obrazowej nadnerczy jest USG;
3) guzów nadnerczy nie należy operować laparoskopowo;
4) guz chromochłonny nadnercza rozwija się z komórek kory nadnercza;
5) zespół Conna najczęściej związany jest z łagodnym gruczolakiem kłębkowej warstwynadnercza.
Prawidłowa odpowiedź to:",,"1,3.","2,3.","2,4,5.",tylko 1.,tylko 5.,chirurgia_ogólna,,,,
,242,"Zatrzymanie moczu jest częstym powikłaniem po zabiegach operacyjnych w obrębiejamy brzusznej. U pacjenta stwierdza się dolegliwości bólowe podbrzusza oraz nadmierne wypełnienie pęcherza moczowego, a rozpoczęcie mikcji nie jest możliwe. Prawidłowym postępowaniem w przypadku wystąpienia pooperacyjnego zatrzymaniamoczu jest w pierwszej kolejności:",,"zastosowanie szybkiego wlewu 1000 ml 0,9% NaCl dożylnie, a następnie podanie 40mg furosemidu doustnie.",założenie cewnika moczowego na 2-3 dni.,operacyjne wytworzenie nefrostomii.,zastosowanie tamsulosyny (antagonista rec. a ) doustnie do czasu uzyskaniaprawidłowej diurezy.,"zastosowanie hemodializy, ponieważ przyczyną zatrzymania moczu w okresiepooperacyjnym jest zawsze ostra niewydolność nerek.",chirurgia_ogólna,,,,
,243,"Wskazaniami do wdrożenia antybiotykoterapii w ostrym zapaleniu trzustki są:
1) każdy przypadek ostrego zapalenia trzustki związanego z kamicą przewodową;
2) każdy przypadek ostrego zapalenia trzustki związanego z alkoholem;
3) potwierdzenie obecności zakażonej martwicy w przebiegu OZT;
4) powikłanie OZT pod postacią rzekomej torbieli trzustki.
Prawidłowa odpowiedź to:",,"1, 3, 4. 1","2, 3, 4.","2, 4.",tylko 3.,tylko 4.,chirurgia_ogólna,,,,
,244,"Pacjent po upadku z wysokości 5 metrów: - otwiera oczy na bodziec bólowy; - jest splątany, nie umie powiedzieć, gdzie się znajduje i co się stało; - nie spełnia poleceń ruchowych, ale potrafi zlokalizować bodziec bólowy. W skali GCS pacjent otrzyma:",,15 punktów.,13 punktów.,12 punktów.,11 punktów.,10 punktów.,chirurgia_ogólna,,,,
,245,Wskazaniem do splenektomii może być:,,wrodzona sferocytoza.,małopłytkowość samoistna.,talasemia.,niedokrwistość sierpowatokrwinkowa.,wszystkie wyżej wymienione.,chirurgia_ogólna,,,,
,246,"Mężczyzna lat 83, leczący się z powodu zaburzeń rytmu serca i nadciśnienia tętniczegozostał przywieziony do SOR z powodu bardzo silnych dolegliwości bólowych brzucha. Ból pojawił się nagle, około godziny temu, najpierw był umiejscowiony w nadbrzuszu i miał charakter napadowy, jednak w chwili badania obejmuje całą jamę brzuszną i ma charakter ciągły. Brzuch jest wzdęty, dodatnie objawy otrzewnowe są obecne wewszystkich kwadrantach brzucha. Pacjent ma nudności, wymiotuje treścią pokarmową. Perystaltyka nie jest słyszalna. W badaniu fizykalnym duża przepuklina pachwinowaprawostronna oraz per rectum stolec brązowy w bańce odbytnicy. HR: 96/min, CTK103/57 mmHg, RR: 18/min, WBC: 33 tys/mm , Hgb 11,2 g/dl, Hct 31%, amylaza 140 U/l. D-dimery 15000 µg/l, TnI <0,001 ng/ml. EKG bez odchyleń od normy. Co jest przyczynądolegliwości pacjenta?",,pęknięty wrzód żołądka.,ostre niedokrwienie jelit.,zawał serca.,niedrożność przewodu pokarmowego spowodowana guzem jelita grubego.,ostre zapalenie trzustki.,chirurgia_ogólna,,,,
,247,"Do SOR zgłosił się 53-letni mężczyzna z powodu dolegliwości bólowych pod prawymłukiem żebrowym. Ból jest napadowy, pojawił się w dniu wczorajszym, towarzyszą munudności i wymioty. W dniu dzisiejszym pojawiła się gorączka z dreszczami, aktualnie39,2 °C. Pacjent dodatkowo zgłasza ciemniejsze zabarwienie moczu. W badaniufizykalnym dodatni objaw Chełmońskiego, zażółcenie twardówek oczu, per rectumodbarwiony stolec w bańce odbytnicy. W badaniach laboratoryjnych: Hgb 12,5 g/dl, Hct 36%, CRP 120 mg/l, bilirubina 80 µmol/l (4,68 mg/dl). W usg przewód żółciowy wspólnyszerokości 11 mm, pęcherzyk cienkościenny z licznymi złogami. Wskaż prawidłowerozpoznanie i postępowanie:",,ostre zapalenie pęcherzyka żółciowego - laparoskopowa cholecystektomia i antybiotykoterapia.,zapalenie dróg żółciowych - leczenie zachowawcze antybiotykoterapią.,zapalenie dróg żółciowych - endoskopowa cholangiopankreatografia wsteczna i antybiotykoterapia.,ostre zapalenie pęcherzyka żółciowego - leczenie zachowawcze antybiotykoterapią.,"na podstawie powyższych informacji nie da się ustalić rozpoznania, wszystkie sąrównie prawdopodobne.",chirurgia_ogólna,,,,
,248,Wskaż fałszywe stwierdzenie dotyczące owrzodzeń żylnych kończyn dolnych: 3,,"czynnikiem ryzyka owrzodzenia żylnego są przebyta zakrzepica żył głębokich, trombofilia oraz żylaki.","typowo zlokalizowane są na podudziach, w okolicach kostki bocznej lub przyśrodkowej.","charakteryzuje je silny ból, który można uśmierzyć odciążając kończynę.","skóra otaczająca owrzodzenia żylne jest często atroficzna, może występować przebarwienie skóry, a kończyna jest często obrzęknięta.",wszystkie powyższe stwierdzenia są prawdziwe.,chirurgia_ogólna,,,,
,249,Do powikłań choroby uchyłkowej zalicza się:,,rak esicy.,przetoka esiczo-pęcherzowa.,WZJG - wrzodziejące zapalenie jelita grubego.,kolka nerkowa lewostronna.,torbiel lewego jajnika.,chirurgia_ogólna,,,,
,250,"Wskaż prawdziwe stwierdzenia dotyczące ropnia:
1) zasadniczym sposobem leczenia jest jego ewakuacja;
2) leczenie chirurgiczne jest przeciwwskazane, większe korzyści daje antybiotykoterapia;
3) powikłaniem ropnia okołoodbytniczego może być przetoka okołoodbytnicza;
4) powikłaniem ropnia okołoodbytniczego może być szczelina odbytu;
5) ropnie okołoodbytowe występują częściej u mężczyzn.
Prawidłowa odpowiedź to:",,"1, 2, 4.","1, 3, 5.","2, 3, 5.","2, 3, 4.","1, 3, 4.",chirurgia_ogólna,,,,
,251,Najczęstsza przyczyna nadczynności tarczycy to:,,choroba Gravesa-Basedowa.,pojedynczy gruczolak tarczycy.,mnogie gruczolaki tarczycy.,zatrucie egzogennymi hormonami tarczycy.,zróżnicowany rak tarczycy.,chirurgia_ogólna,,,,
,252,Operacja sposobem Whipple’a oznacza:,,pankreatoduodenektomię.,pankreatoduodenektomię oraz cholecystektomię.,usunięcie ogona trzustki.,pankreatogastrektomię.,resekcję obwodową trzustki oraz splenektomię.,chirurgia_ogólna,,,,
,253,Powstanie ropniaka pęcherzyka żółciowego może być wynikiem:,,opóźnionej interwencji chirurgicznej w przypadku ostrego zapalenia pęcherzykażółciowego.,przedłużonego uwięźnięcia złogu w szyi pęcherzyka.,wcześniejszej obecności wodniaka pęcherzyka.,raka pęcherzyka.,wszystkich wymienionych.,chirurgia_ogólna,,,,
,254,Najczęściej występujące polipy jelita grubego to:,,gruczolaki cewkowe.,gruczolaki kosmkowe.,gruczolaki cewkowo-kosmkowe.,polipy zapalne.,polipy hiperplastyczne.,chirurgia_ogólna,,,,
,255,"Ocena stanu odżywienia pozwala odpowiednio przygotować pacjenta do leczeniaoperacyjnego poprzez planowe włączenie leczenia żywieniowego. Wskaż parametr, który nie stanowi podstawy zaklasyfikowania pacjenta do grupy chorych niedożywionych:",,"wskaźnik masy ciała BMI < 18,5.",ubytek masy ciała (stosunek obecnej masy ciała do tej sprzed choroby) < 10%.,"stężenie albumin < 3,5 g/dl.","objawy kliniczne: osłabienie, zanik tkanki tłuszczowej i mięśni.",niska aktualna masa ciała.,chirurgia_ogólna,,,,
,256,"Które z jednostek chorobowych powinno się brać pod uwagę przy diagnostyceróżnicowej ostrego zapalenia pęcherzyka żółciowego?
1) perforacja wrzodu żołądka lub dwunastnicy;
2) zapalenie uchyłków esicy;
3) zapalenie dróg żółciowych;
4) OZT;
5) niedrożność mechaniczna.
Prawidłowa odpowiedź to:",,"1, 2, 5.","1, 3, 5.","2, 3, 5.","2, 3, 4.","1, 3, 4.",chirurgia_ogólna,,,,
,257,"Wskaż prawdziwe stwierdzenia dotyczące incydentaloma:
1) jest to przypadkowo wykryta zmiana guzowata, najczęściej zlokalizowana wnadnerczach;
2) zawsze jest wskazaniem do leczenia operacyjnego;
3) stwierdzając incydentaloma w nadnerczu należy zawsze zweryfikować jego potencjalną aktywność hormonalną;
4) najlepszym badaniem obrazowym weryfikującym guz nadnercza jest TK;
5) jeśli guz jest duży (powyżej 5 cm) należy chorego zakwalifikować do pilnej operacji nie zważając na badania aktywności hormonalnej.
Prawidłowa odpowiedź to:",,"1, 2, 5.","1, 3, 5.","2, 3, 5.","1, 3, 4.","2, 4, 5.",chirurgia_ogólna,,,,
,258,"Opiekując się w SOR pacjentem z przedziurawieniem wrzodu trawiennego (żołądka lubdwunastnicy) należy:
1) założyć sondę do żołądka celem zmniejszenia objętości treści, która może wylać sięz żołądka do jamy otrzewnej;
2) założyć sondę Sengstakena-Blakemore’a celem zamknięcia ubytku w żołądku;
3) wykonać RTG przeglądowe brzucha na stojąco celem potwierdzenia rozpoznania;
4) wykonać gastroskopię celem potwierdzenia rozpoznania;
5) uzupełnić płyny i elektrolity.
Prawidłowa odpowiedź to:",,"1, 2, 5.","1, 3, 5.","2, 3, 5.","2, 4, 5.","1, 3, 4.",chirurgia_ogólna,,,,
,259,"Proces zapalny, zwykle ropny toczący się w obrębie wału paznokciowego to:",,zanokcica.,zastrzał.,załupek.,czyrak.,zgorzel.,chirurgia_ogólna,,,,
,260,Do poradni zgłosił się 56-letni chory z rozpoznanym w badaniu histopatologicznymgruczolakorakiem trzonu żołądka. Które badanie należy zlecić w celu oceny miejscowego zaawansowania choroby (ocena stagingu)?,,USG jamy brzusznej.,laparoskopię diagnostyczną.,paracentezę.,TK jamy brzusznej.,PET.,chirurgia_ogólna,,,,
,261,"Do przyszpitalnej poradni zgłosiła się 73-letnia pacjentka, która 3 lata wcześniej byłaoperowana z powodu raka odbytnicy. Ma przy sobie dwa ostatnie wyniki oznaczeniastężenia CEA: pierwszy wynosił 8,45 ng/ml, kolejny wykonany po 3 miesiącach wynosił 19,39 ng/ml (norma: <5,0 ng/ml). W wykonanym dwufazowym TK jamy brzusznej i klatki piersiowej oraz w kolonoskopii nie stwierdzono patologii. Wskaż, na które badanienależy skierować chorą:",,USG transrektalne.,rezonans magnetyczny miednicy mniejszej.,PET-TK.,laparoskopię diagnostyczną.,badanie CEA za 3 miesiące.,chirurgia_ogólna,,,,
,262,"Do poradni zgłasza się 34-letnia chora leczona od kilku lat z powodu napadowegonadciśnienia tętniczego. Podczas napadów nadciśnienia skarży się między innymi nawzmożone pragnienie, zlewne poty, kołatania serca. W badaniach laboratoryjnychstwierdzono znaczne podwyższenie metoksykatecholamin we krwi, a w wykonanymdwufazowym TK jamy brzusznej w lewym nadnerczu 3 cm guz. Wskaż, właściwepostępowanie:",,wycięcie nadnercza z guzem.,wykonanie biopsji cienkoigłowej guza.,wykonanie rezonansu magnetycznego jamy brzusznej.,wycięcie guza z zaoszczędzeniem nadnercza.,obustronne wycięcie nadnerczy.,chirurgia_ogólna,,,,
,263,Do czynników zwiększających ryzyko wystąpienia raka trzustki nie należy:,,otyłość.,cukrzyca insulinozależna.,stała ekspozycja na aluminium.,palenie tytoniu.,ostre zapalenie trzustki.,chirurgia_ogólna,,,,
,264,Badaniem określanym jako „złoty standard” do przedoperacyjnej oceny miejscowegozaawansowania gruczolakoraka odbytnicy jest:,,USG transrektalne.,dwufazowa TK jamy brzusznej i miednicy mniejszej.,rezonans magnetyczny miednicy mniejszej.,rektosigmoideoskopia.,PET-TK jamy brzusznej i miednicy mniejszej.,chirurgia_ogólna,,,,
,265,"Wskaż prawdziwe stwierdzenie/a dotyczące gruczolakoraka trzustki:
1) najczęściej wywodzi się z komórek zrazikowych trzustki;
2) operacja Whipple’a jest metodą z wyboru w leczeniu resekcyjnego raka głowy trzustki;
3) w jego przebiegu może dochodzić do tzw. wędrującego zakrzepowego zapalenia żył;
4) może rozwijać się na podłożu wewnętrzprzewodowego brodawkowatego nowotworuśluzowego (IPMN);
5) objaw Courvoisiera jest charakterystyczny dla raka trzonu trzustki.
Prawidłowa odpowiedź to:",,"1,2,4.","2,5.","2,3,4.","1,3,4,5.",tylko 2.,chirurgia_ogólna,,,,
,266,Badanie histopatologiczne BAC guza powłok jamy brzusznej u młodej kobiety w wiekurozrodczym wykazało desmoid. Wskaż najwłaściwszą opcję leczenia:,,wycięcie guza z szerokim marginesem zdrowych tkanek.,obserwacja i ponowne badanie.,wycięcie ograniczone do guza.,pobranie wycinka w trakcie biopsji otwartej.,wycięcie guza z niewielkim marginesem tkanek zdrowych.,chirurgia_ogólna,,,,
,267,Guz włóknisty powłok współistniejący z zespołem Gardnera występujący u młodychkobiet w wieku rozrodczym to najprawdopodobniej:,,fibrosarcoma.,międzybłoniak otrzewnej.,stary zwłókniały krwiak powłok.,przepuklina nieodprowadzalna.,desmoid.,chirurgia_ogólna,,,,
,268,"Przepuklina u starszego mężczyzny z chorobą obturacyjną płuc uwypuklająca się nazewnątrz jamy brzusznej przez powięź poprzeczną stanowiącą tylną ścianę kanałupachwinowego w miejscu ograniczonym od góry przez ścięgno łączące, od dołu przezwięzadło pachwinowe, a bocznie przez naczynia nabrzuszne dolne - jest rozpoznawanajako:",,przepuklina pachwinowa skośna.,przepuklina mosznowa.,przepuklina pachwinowa prosta.,przepuklina udowa.,przepuklina Spigela.,chirurgia_ogólna,,,,
,269,Wskaż fałszywe stwierdzenie dotyczące raka brodawki Vatera:,,jest synonimem raka głowy trzustki.,stopień zaawansowania określa się między innymi na podstawie tomografii komputerowej.,najczęściej pierwszym objawem jest bezbolesna żółtaczka.,we wczesnym stadium może być leczony chirurgicznie (operacja sposobemWhipple\’a).,żadne z powyższych.,chirurgia_ogólna,,,,
,271,"Wskaż fałszywe stwierdzenie dotyczące dziedzicznego, niepolipowatego raka jelitagrubego (HNPCC, zespół Lyncha):",,"charakterystyczny jest wczesny wiek zachorowania, zwykle ok. 40.-50. r.ż.",częściej występuje u mężczyzn.,charakteryzuje się częstszą lokalizacją w prawej części okrężnicy.,charakteryzuje się częstszym występowaniem jednocześnie dwóch guzów wokrężnicy (rak synchroniczny).,charakteryzuje się pojawieniem się kolejnych raków w pozostawionej (po wcześniejszym wycięciu z powodu raka) części okrężnicy (rak metachroniczny).,chirurgia_ogólna,,,,
,272,"Wskaż prawdziwe stwierdzenia dotyczące raka tarczycy:
1) rak anaplastyczny jest najrzadszym, ale najbardziej złośliwym z raków tarczycy;
2) najczęstszym nowotworem tarczycy jest rak wywodzący się z komórek typu C;
3) uszkodzenie nerwu krtaniowego wstecznego jest klasycznym powikłaniem pooperacji występującym u 1-2% chorych po subtotalnej resekcji;
4) wyleczalność w raku pęcherzykowym jest najwyższa i wynosi 90%;
5) standardowym badaniem w ocenie zmian w obrębie gruczołu tarczowego jest scyntygrafia.",,"1,2.","1,3.","3,4.","1,3,4.","4,5.",chirurgia_ogólna,,,,
,274,W klasyfikacji TNM dotyczącej nowotworów opis T3N2M0 oznacza:,,"nowotwór mało zaawansowany, ograniczony do jednego narządu.",nowotwór średnio zaawansowany ograniczony do dwóch narządów.,nowotwór zaawansowany miejscowo z przerzutami do okolicznych węzłówchłonnych.,nowotwór bardziej zaawansowany miejscowo z liczniejszymi przerzutami doregionalnych węzłów chłonnych.,"nowotwór rozsiany (uogólniona choroba nowotworowa), naciekający sąsiedniestruktury, z przerzutami odległymi.",chirurgia_ogólna,,,,
,275,Rak żołądka jest gruczolakorakiem rozwijającym się na podłożu zmian patologicznychw błonie śluzowej żołądka: dysplazji i metaplazji. Wskaż czynniki ryzyka rozwoju rakażołądka:,,"zespół metaboliczny, cukrzyca, zakażenie Clostridium difficile i Helicobacter pylori.","dieta bogata w świeże owoce, dieta bogatosolna, palenie tytoniu, płeć męska.","nadmierne spożywanie mocnego alkoholu, zakażenie Helicobacter pylori.","kikut żołądka, polipy żołądka.","palenie tytoniu, płeć męska, zakażenie Helicobacter pylori, przewlekłe zanikowezapalenie błony śluzowej, wrzód trawienny żołądka, kikut żołądka po resekcji, polipyżołądka.",chirurgia_ogólna,,,,
,276,Wskaż prawdziwe stwierdzenie dotyczące rozsiewu raka żołądka:,,rak żołądka rzadko daje przerzuty do węzłów chłonnych.,"limfadenektomia w operacjach z intencją wyleczenia nie odgrywa zasadniczej roli, ponieważ przerzuty do węzłów chłonnych występują rzadko.",przerzuty w zaawansowanym raku żołądka najczęściej występują do płuc.,guz Krukenberga nie ma związku z rakiem żołądka.,"we wczesnym raku żołądka przerzuty do węzłów chłonnych są rzadkie, jednak mogąbyć obecne, kiedy naciek sięga błony podśluzowej.",chirurgia_ogólna,,,,
,277,Wskaż prawdziwe stwierdzenie dotyczące leczenia chirurgicznego zaawansowanegoraka żołądka:,,podstawowym sposobem leczenia raka żołądka jest całkowite lub prawie całkowitewycięcie żołądka połączone z limfadenektomią D2.,"do rekonstrukcji przewodu pokarmowego, po gastrektomii, najczęściej stosuje sięmetodę wstawki jelitowej zastępującej żołądek.",zawsze należy wykonać omentektomię i splenektomię.,usunięcie węzłów chłonnych nie jest konieczne.,zawsze należy usunąć śledzionę.,chirurgia_ogólna,,,,
,278,Wskaż prawdziwe stwierdzenie dotyczące niedrożności jelit:,,najczęstszą przyczyną niedrożności jelit jest niedrożność zrostowa.,niedrożność tzw. „wysoka” dotyczy sytuacji niedrożności występującej w obrębieprawej połowy okrężnicy.,w niedrożności z zadzierzgnięcia następuje zamknięcie światła jelita wraz z zaciśnięciem naczyń jego krezki.,najczęstszą przyczyną mechanicznej niedrożności jelita grubego są nowotwory.,"prawdziwe są odpowiedzi A, C i D.",chirurgia_ogólna,,,,
,279,"61-letnia pacjentka bez istotnego obciążenia chorobowego zgłosiła się do poradni chirurgii ogólnej z rozpoznanym guzem typu MALT okolicy wpustu żołądka. Pacjentkanie zgłasza dolegliwości, zmiana została wykryta w badaniach przesiewowych. Wskażprawidłowe postępowanie lecznicze w tym przypadku:",,zakwalifikowanie pacjentki do totalnej resekcji żołądka.,"zakwalifikowanie pacjentki do eradykacji Helicobacter pylori, ponieważ jest toleczenie pierwszego rzutu.","zakwalifikowanie pacjentki do obserwacji, w tym wykonanie kontrolnego badania TKjamy brzusznej za 3 miesiące.",zakwalifikowanie pacjentki do subtotalnej resekcji żołądka.,zakwalifikowanie pacjentki do wykonania zespoleń omijających ze względu naprawdopodobną nieoperacyjność zmiany i złe rokowanie co do dalszego leczenia.,chirurgia_ogólna,,,,
,280,Wskaż możliwe zaburzenia zrostu kości:,,zrost opóźniony.,brak zrostu.,staw rzekomy.,"prawdziwe są odpowiedzi A,C.","prawdziwe są odpowiedzi A,B,C.",chirurgia_ogólna,,,,
,281,Wskaż fałszywe stwierdzenie dotyczące raka żołądka:,,w ostatnich latach notuje się wzrost zapadalności na raka żołądka.,najczęstszym typem histologicznym jest rak gruczołowy.,"we wczesnym stadium choroby objawy są niecharakterystyczne - może występowaćból w nadbrzuszu, wczesne uczucie sytości, zgaga.",badanie histopatologiczne stanowi podstawowy warunek rozpoznania.,w powstawaniu raka żołądka znaczenie ma przewlekłe zanikowe zapalenie błonyśluzowej.,chirurgia_ogólna,,,,
,282,Podstawowym leczeniem z wyboru drobnokomórkowego raka płuca jest:,,lobektomia.,resekcja nieanatomiczna.,immunoterapia.,miejscowe wycięcie raka z obliteracją tętnicy płucnej.,chemioterapia.,chirurgia_ogólna,,,,
,283,Następstwem hipokaliemii może/mogą być:,,hipoglikemia.,niedrożność porażenna jelit.,biegunka.,oliguria.,wszystkie wymienione.,chirurgia_ogólna,,,,
,284,Przetoki jelitowe mogą być wynikiem:,,nowotworów złośliwych.,choroby uchyłkowej jelit.,choroby Leśniowskiego-Crohna.,ekspozycji na promieniowanie jonizujące.,wszystkich wyżej wymienionych.,chirurgia_ogólna,,,,
,285,"Proces zapalny, zwykle ropny toczący się na powierzchni dłoniowej ręki to:",,zanokcica.,zastrzał.,załupek.,czyrak.,zgorzel.,chirurgia_ogólna,,,,
,286,"Do SOR zgłosił się 53-letni mężczyzna z powodu dolegliwości bólowych jamy brzusznej w nadbrzuszu po posiłku oraz świądu skóry. Pacjent dodatkowo zgłasza ciemnezabarwienie moczu. W badaniu zażółcenie twardówek oczu oraz skóry, per rectumodbarwiony stolec w bańce odbytnicy. W badaniach laboratoryjnych: Hgb 12,5 g/dl, Hct 36%, CRP 5 mg/l, bilirubina 80 μmol/l (4,68 mg/dl). W USG przewód żółciowy wspólnyszerokości 11 mm z obecnym kamieniem, pęcherzyk cienkościenny bez złogów, bezpogrubienia ściany. Wskaż prawidłowe rozpoznanie i postępowanie:",,ostre zapalenie pęcherzyka żółciowego - laparoskopowa cholecystektomia i antybiotykoterapia.,zapalenie dróg żółciowych - leczenie zachowawcze z antybiotykoterapią.,zapalenie dróg żółciowych - endoskopowa cholangiopankreatografia wsteczna i antybiotykoterapia.,kamica przewodowa - kwalifikacja pacjenta do endoskopowej cholangiopankreatografii wstecznej.,"na podstawie powyższych informacji nie da się ustalić rozpoznania, wszystkie sąrównie prawdopodobne.",chirurgia_ogólna,,,,
,287,W klasyfikacji TNM dotyczącej nowotworów opis T4N2M1 oznacza:,,"nowotwór mało zaawansowany, ograniczony do jednego narządu.","nowotwór średnio zaawansowany, ograniczony do dwóch narządów.",nowotwór zaawansowany miejscowo z przerzutami do okolicznych węzłówchłonnych.,nowotwór zaawansowany miejscowo z przerzutami do regionalnych i odległychwęzłów chłonnych.,"nowotwór rozsiany (uogólniona choroba nowotworowa), naciekający sąsiedniestruktury, z przerzutami odległymi.",chirurgia_ogólna,,,,
,288,80-letni pacjent przewlekle leżący. W badaniu w okolicy kości krzyżowej stwierdza siępęcherz z otarciem. Według klasyfikacji odleżynę należy zaliczyć do stopnia:,,I.,II.,III.,IV.,V.,chirurgia_ogólna,,,,
,289,"62-letni pacjent z potwierdzonym w badaniu gastroskopowym rakiem żołądka zlokalizowanym w okolicy trzonu żołądka, bez przerzutów odległych, (T2N0M0), pocyklach chemioterapii przedoperacyjnej, został przyjęty na oddział chirurgii ogólnej celem dalszego leczenia operacyjnego. Wskaż prawidłowe postępowanie:",,wykonanie totalnej resekcji żołądka z limfadenektomią D2.,wykonanie totalnej resekcji żołądka bez konieczności wykonania limfadenektomii.,wykonanie subtotalnej resekcji żołądka z limfadenektomią D2.,wykonanie subtotalnej resekcji żołądka bez konieczności wykonania limfadenektomii.,leczenie endoskopowe - wykonanie endoskopowej resekcji podśluzówkowej.,chirurgia_ogólna,,,,
,290,"Wskaż prawdziwe stwierdzenie/a dotyczące leczenia raka żołądka:
1) w niektórych przypadkach rozpoznania wczesnego raka żołądka można wykonaćendoskopową resekcję śluzówkową;
2) w przypadku zmian wieloogniskowych lub zmian umiejscowionych w okolicy wpustużołądka należy wykonać całkowitą resekcję żołądka;
3) w przypadku raka ograniczonego do 1/3 dalszej części żołądka należy wykonaćprawie całkowitą resekcję żołądka;
4) bez względu na umiejscowienie zmiany należy wykonać całkowitą resekcję żołądkaaby zminimalizować ryzyko przerzutów nowotworowych;
5) decyzję o wykonaniu rozległości zabiegu podejmuje się na podstawie doświadczeniai wiedzy chirurga, lokalizacja w tym przypadku nie ma znaczenia.
Prawidłowa odpowiedź to:",,"1,2.","1,2,3.","2,3.",tylko 4.,tylko 5.,chirurgia_ogólna,,,,
,291,Która z poniższych cech guzka tarczycy o średnicy około 15 mm widzianego w USGbudzi podejrzenie nowotworu?,,regularny kształt.,brak unaczynienia.,obecność mikrozwapnień.,hiperechogeniczność.,wszystkie wymienione.,chirurgia_ogólna,,,,
,292,Która metoda chirurgiczna może być formą leczenia u chorego z rozpoznaną przetokąokołoodbytniczą?,,fistulektomia.,fistulotomia.,podanie kleju tkankowego.,operacja metodą Hipokratesa.,wszystkie wymienione.,chirurgia_ogólna,,,,
,293,U pacjenta z chorobą uchyłkową esicy wskazaniem do planowej operacji jest:,,nawracające zapalenie uchyłków.,krwotok z dolnego odcinka przewodu pokarmowego.,przetoka jelitowo-pochwowa.,ropień miednicy mniejszej.,perforacja uchyłka esicy.,chirurgia_ogólna,,,,
,294,Wskazaniem do wycięcia pęcherzyka żółciowego (cholecystektomii) jest objawowa(udokumentowana) kamica pęcherzyka żółciowego. Planową cholecystektomię należywykonać w przypadku kamicy bezobjawowej u pacjentów:,,po przebytych licznych operacjach brzusznych.,z niewydolnością nerek.,z niedokrwistością mikrocytarną.,z nadciśnieniem tętniczym.,z cukrzycą.,chirurgia_ogólna,,,,
,295,48-letnia kobieta zgłasza się do szpitala z objawami zapalenia żył powierzchownychprawej kończyny dolnej. Która z poniższych metod nie jest metodą leczenia tej choroby?,,podwiązanie chorej żyły w miejscu jej ujścia.,usuniecie żyły objętej zakrzepem.,okłady z octanu glinu.,heparyna drobnocząsteczkowa podawana podskórnie.,niesteroidowe leki przeciwzapalne.,chirurgia_ogólna,,,,
,296,Wskaż prawidłową metodę leczenia pacjenta z zespołem Mallory’ego-Weissa:,,resekcja przełyku z miejscem krwawienia.,endoskopowa sklerotyzacja źródła krwawienia.,zeszycie miejsca perforacji przełyku.,endoskopowe opaskowanie źródła krwawienia.,eradykacja H. pylori.,chirurgia_ogólna,,,,
